"4753285",2011,20120827,0109,20110226,2300,"8912","1","6","5","7","0109","0","0","0","","0","02X","5TH ST","MARKET ST","0","","Y","A","-","Y","ALA",4,880,"-","R",32.004,"R","4","N","Y","0",0,0,2,"A","-","12",21453,"A","M","D","C","A","A","H","-","C","A","0","","","","","Y","Y","-","- ",0,0,0,0,0,0,0,0,0,"-","-",,
"4753552",2011,20120907,0109,20110409,0121,"8610","3","6","5","7","0109","0","0","0","","0","35Y","MIDDLETON ST","MARLOW DR","30","E","N","A","-","N","",,,"","",,"","","","Y","0",0,0,1,"A","-","08",22107,"","N","E","J","A","A","H","-","C","A","0","","","","","Y","","A","07",0,0,0,0,0,0,0,0,0,"-","-",,
"4753556",2011,20130122,0109,20110407,1210,"1075","","4","5","7","0109","0","0","0","","0","30Y","BANCROFT AV","77TH AV","130","E","N","B","-","N","",,,"","",,"","","","N","0",0,0,3,"A","-","03",22350,"","N","C","C","A","A","H","-","A","D","0","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-",,
"4753560",2011,20120907,0109,20110407,2337,"8262","3","4","5","7","0109","0","0","0","","0","32Y","98TH AV","MACARTHUR BL","10","N","N","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","08",22107,"","M","B","-","A","A","H","-","C","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"4753564",2011,20120907,0109,20110407,2230,"8120","","4","5","7","0109","0","0","0","","0","23X","INTERNATIONAL BL","35TH AV","120","W","N","A","-","N","",,,"","",,"","","","N","0",0,0,1,"A","-","08",22107,"","N","E","I","A","A","H","-","C","D","0","","","","","Y","","-","99",0,0,0,0,0,0,0,0,0,"-","-",,
"4753568",2011,20120907,0109,20110407,1000,"7848","2","4","5","7","0109","0","0","0","","0","19X","INTERNATIONAL BL","22ND AV","200","E","N","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","08",22107,"","M","B","E","A","A","H","-","A","D","0","","","","","Y","","A","07",0,0,0,0,0,0,0,0,0,"-","-",,
"4753572",2011,20120924,0109,20110407,1102,"8107","3","4","5","7","0109","0","0","0","","0","32Y","BANCROFT AV","98TH AV","0","","Y","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","03",22350,"","M","C","C","A","A","H","-","A","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"4753576",2011,20120907,0109,20110407,2500,"7491","1","4","5","7","0109","0","0","0","","0","02X","11TH ST","PINE ST","75","E","N","A","-","N","",,,"","",,"","","","N","0",0,0,1,"A","-","21",22106,"","M","E","I","A","A","H","-","C","D","0","","","","","Y","","-","99",0,0,0,0,0,0,0,0,0,"-","-",,
"4753580",2011,20120910,0109,20110409,0908,"8646","4","6","5","7","0109","0","0","0","","0","25X","HIGH ST","MACARTHUR BL","0","","Y","A","-","N","",,,"","",,"","","","Y","0",0,0,2,"A","-","09",21801,"A","N","D","C","A","A","H","-","A","A","0","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-",,
"4753774",2011,20121012,0109,20110503,1405,"7635","3","2","5","7","0109","0","0","0","","0","24X","HIGH ST","BROOKDALE AV","0","","Y","C","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","12",21453,"A","N","A","C","A","B","H","-","A","A","0","","","","","Y","","D","23",0,0,0,0,0,0,0,0,0,"-","-",,
"4753778",2011,20121012,0109,20110519,2055,"7738","1","4","5","7","0109","0","0","0","","0","03X","FRANKLIN ST","9TH ST","0","","Y","B","-","N","",,,"","",,"","","","Y","0",0,0,2,"D","-","00",,"","N","D","C","A","A","H","-","B","A","0","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-",,
